"http://ieeexplore.ieee.org/myprojects/showProjectListings.jsp?projectId=269494",2013/12/14 13:49:17
"Document Title","Authors","Author Affiliations","Publication Title","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","DOE Terms","PACS Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Date Added To Xplore,"Meeting Date","Publisher","Sponsors",Document Identifier,Document Notes,Document Tags,Date Added,Update Date
"Exploring differences in exchange formats-tool support and case studies","Jiang, J.; Systa, T.","Inst. of Software Syst., Tampere Univ. of Technol., Finland","Software Maintenance and Reengineering, 2003. Proceedings. Seventh European Conference on","26-28 March 2003","2003","","","389","398","XML-based markup languages are widely used, e.g., for information exchange and as file formats in various software development and exploration tools. Still, using a metalanguage, such as XML, does not guarantee tool interoperability. The particular XML-based languages used by different tools often vary. They can, none the less, be processed by the same methods and tools. In most UML-based software development tools, support for tool interoperability is provided by using OMG's XML Metadata Interchange (XMI) as a file format. However, in many cases XMI has turned out to be insufficient for storing all information from the UML models. Thus the tool vendors typically extend and/or modify the language so introduce their own XMI dialect. This, in turn, means that the tool interoperability is sacrificed. We discuss a method and a tool called DTD-compaper for exploring differences in exchange formats. DTD-compaper can, in general, be used to identify differences in grammars of XML-based languages. Further, we discuss three different case studies in which we used DTD-comparer. We first compare few commonly used XMI dialects. We further use the tool for comparing different versions of the Graph eXchange Language (GXL).","1534-5351","0-7695-1902-4","","10.1109/CSMR.2003.1192448","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1192448","","Computer aided software engineering;Markup languages;Programming;Reverse engineering;Software libraries;Software maintenance;Software systems;Standards development;Unified modeling language;XML","data models;grammars;hypermedia markup languages;open systems;software tools;specification languages","DTD-compaper;GXL;Graph eXchange Language;UML;XMI;XML;XML Metadata Interchange;data model;file format;grammars;metalanguage;software development tools;software tools;tool interoperability","","","","1","","12","","","20030408","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:48 PM EST","Dec. 14, 2013 1:48 PM EST"
"Extending a Model Transformation Language Using Higher Order Transformations","Muliawan, O.","Univ. Antwerpen, Antwerpen","Reverse Engineering, 2008. WCRE '08. 15th Working Conference on","15-18 Oct. 2008","2008","","","315","318","Model driven engineering is a paradigm for software development on different platforms. Models are (semi) automatically refined in a series of steps, each step adding more information to eventually produce software code. However, the specification of model transformations which define these refinements is still performed in a manual fashion. A specification may be very complex, difficult to understand or time-consuming to produce. There is need for a higher level language for improving expressivity of the basic transformation mechanism. Consequently, we need higher order transformations for converting the extra features adding expressivity into the basic formalism, thus providing a mechanism for implementing extensions to the core language. This approach is tested on a few cases including evolution and refinement to other paradigms (e.g. transformation from a UML activity diagram into communicating sequential processes).","1095-1350","978-0-7695-3429-9","","10.1109/WCRE.2008.19","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4656425","evolution;graph transformations;model driven engineering;refactoring","Model driven engineering;Productivity;Programming;Refining;Reverse engineering;Sequential analysis;Terminology;Unified modeling language","Unified Modeling Language;high level languages;software engineering","UML;communicating sequential processes;higher order transformations;model driven engineering;model transformation language;software code;transformation mechanism","","","","0","","13","","","20081024","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:48 PM EST","Dec. 14, 2013 1:48 PM EST"
"Determining granularity of independent tasks for reengineering a legacy system into an OO system","Millham, R.; Ward, M.; Yang, H.","De Montfort Univ., Leicester, UK","Computer Software and Applications Conference, 2003. COMPSAC 2003. Proceedings. 27th Annual International","3-6 Nov. 2003","2003","","","342","347","Reengineering a COBOL legacy system is a difficult multi-step process, particularly when the COBOL legacy system is a sequential procedural-driven system which is being reengineered into an object oriented, event-driven system. In this scenario, it is necessary to analyse the legacy system in order to identify which tasks can be executed independently and which tasks must be executed sequentially. The focus of reengineering is too often based on theory rather than based on experience gained from real-world examples. This paper hopes to address this imbalance by providing a practical application of reengineering to an actual legacy telecommunications system.","0730-3157","0-7695-2020-0","","10.1109/CMPSAC.2003.1245363","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1245363","","Bars;Business communication;Communication switching;Companies;Control systems;Cost function;Object oriented modeling;Reverse engineering;System testing;Unified modeling language","distributed object management;object-oriented programming;reverse engineering;software maintenance;specification languages;systems re-engineering","COBOL;UML;Unified Modelling Language;WSL;event-driven system;independent task granularity determination;legacy system;legacy telecommunications system;object oriented system;object-oriented system;reverse enginering;sequential procedural-driven system;software reengineering;wide spectrum language","","","","0","","22","","","20031117","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:48 PM EST","Dec. 14, 2013 1:48 PM EST"
"Discovering Program's Behavioral Patterns by Inferring Graph-Grammars from Execution Traces","Chunying Zhao; Ates, K.; Jun Kong; Kang Zhang","Univ. of Texas at Dallas, Dallas, TX","Tools with Artificial Intelligence, 2008. ICTAI '08. 20th IEEE International Conference on","3-5 Nov. 2008","2008","2","","395","402","Frequent patterns in program executions represent recurring sequences of events. These patterns can be used to reveal the hidden structures of a program, and ease the comprehension of legacy systems. Existing grammar-induction approaches generally use sequential algorithms to infer formal models from program executions, in which program executions are represented as strings. Software developers, however, often use graphs to illustrate the process of program executions, such as UML diagrams, flowcharts and call graphs. Taking advantage of graphs' expressiveness and intuitiveness for human cognition, we present a graph-grammar induction approach to discovering program's behavioral patterns by analyzing execution traces represented in graphs. Moreover, to improve the efficiency, execution traces are abstracted to filter redundant or unrelated traces. A grammar induction environment called VEGGIE is adopted to facilitate the induction. Evaluation is conducted on an open source project JHotDraw. Experimental results show the applicability of the proposed approach.","1082-3409","978-0-7695-3440-4","","10.1109/ICTAI.2008.68","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4669801","Graph-grammar Induction;Program Execution","Application software;Cognition;Flowcharts;Humans;Lattices;Pattern analysis;Reverse engineering;Sequences;Software engineering;Unified modeling language","data mining;graph grammars;learning by example;program diagnostics;program visualisation;software maintenance","execution trace;formal model;graph-grammar induction approach;legacy system comprehension;program behavioral pattern discovery;sequential algorithm;software developer;visual environment","","","","1","","14","","","20081111","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:48 PM EST","Dec. 14, 2013 1:48 PM EST"
"Experiences with an industrial long-term reengineering project","Kollmann, R.","BOSS AG, Bremen, Germany","Reverse Engineering, 2004. Proceedings. 11th Working Conference on","8-12 Nov. 2004","2004","","","8","16","We discuss the experiences gained in a large-scale industrial reengineering project. The subject system is a medical data management software that has been continuously developed and maintained for about twenty years. About four years ago, it has been decided to subsequently reimplement the entire system in Java, while continuing maintenance of the legacy system. The focus of This work is less on technical details concerning reverse engineering tools, but rather on the overall approach for reengineering a large and complex legacy system. Central issues are the identification and definition of a suitable software development process, training for the developers, as well as the ongoing reverse engineering of the existing system. The latter has been carried out in parallel to continuous maintenance of both the legacy system and the reimplementation.","1095-1350","0-7695-2243-2","","10.1109/WCRE.2004.19","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1374301","","Application software;Computer industry;Databases;Industrial training;Java;Large-scale systems;Programming;Reverse engineering;Software development management;Software maintenance","Java;medical information systems;reverse engineering;software maintenance;systems re-engineering","Java;UML;XP;data reengineering;enterprise applications;industrial long-term reengineering project;large-scale industrial reengineering project;legacy system;medical data management software;parallel processing;reverse engineering tools;software development;system maintenance","","","","0","","22","","","20050117","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:48 PM EST","Dec. 14, 2013 1:48 PM EST"
"“Reverse engineering”: Extracting information from C++ code","Jain, A.; Soner, S.; Holkar, A.","Dept. of Inf. Tech., Mahakal Inst. of Tech., Ujjain, India","Software Technology and Engineering (ICSTE), 2010 2nd International Conference on","3-5 Oct. 2010","2010","1","","V1-154","V1-158","This paper presents an experiment to reverse engineer a legacy source code. Here, it is used as a part of a project to develop and upgrade the existing system written in C++ language. To accomplish this task some information's must be need to be extracted from that legacy C++ code. The extracted information now used to implement a new version of the design documentation. This experiment revealed issues about recovering design information, such as, knowing variables, functions and classes. The reverse engineering process used to recover the Data flow diagrams, Control flow diagrams and class diagrams and the experience gained during the study are reported.","","978-1-4244-8667-0","978-1-4244-8666-3","10.1109/ICSTE.2010.5608892","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5608892","Class Diagrams;Control Flow Diagrams;Data Flow Diagrams;Extraction;Legacy code","Arrays;Business;Data mining;Data models;Maintenance engineering;Reverse engineering;Software","C++ language;data flow analysis;reverse engineering;software maintenance;system documentation","C++ language;class diagram;control flow diagram;data flow diagram;design documentation;design information recovery;legacy C++ code;legacy source code;reverse engineering","","","","0","","6","","","20101025","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:48 PM EST","Dec. 14, 2013 1:48 PM EST"
"Identifying State Transitions and their Functions in Source Code","Walkinshaw, N.; Bogdanov, K.; Holcombe, M.","Dept. of Comput. Sci., Univ. of Sheffield","Testing: Academic and Industrial Conference - Practice And Research Techniques, 2006. TAIC PART 2006. Proceedings","29-31 Aug. 2006","2006","","","49","58","Finite state machine specifications form the basis for a number of rigorous state-based testing techniques and can help to understand program behaviour. Unfortunately they are rarely maintained during software development, which means that these benefits can rarely be fully exploited. This paper describes a technique that, given a set of states that are of interest to a developer, uses symbolic execution to reverse-engineer state transitions from source code. A particularly novel aspect of our approach is that, besides determining whether or not a state transition can take place, it also precisely identifies the path(s) through the source code that govern a transition. The technique has been implemented as a prototype, enabling a preliminary evaluation of our technique with respect to real software systems","","0-7695-2672-1","","10.1109/TAIC-PART.2006.12","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1691669","","Automata;Binary search trees;Computer science;Electronic mail;Power system modeling;Programming;Reverse engineering;Software maintenance;Software prototyping;System testing","finite state machines;formal specification;program testing;program verification;reverse engineering;software maintenance","finite state machine specification;program behaviour understanding;reverse-engineering;software maintenance;source code analysis;state transition identification;state-based testing technique;symbolic execution","","","","4","","19","","","20061016","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:48 PM EST","Dec. 14, 2013 1:48 PM EST"
"Mining design patterns from C++ source code","Balanyi, Z.; Ferenc, R.","Res. Group on Artificial Intelligence, Szeged Univ., Hungary","Software Maintenance, 2003. ICSM 2003. Proceedings. International Conference on","22-26 Sept. 2003","2003","","","305","314","Design patterns are micro architectures that have proved to be reliable, easy-to implement and robust. There is a need in science and industry for recognizing these patterns. We present a new method for discovering design patterns in the source code. This method provides a precise specification of how the patterns work by describing basic structural information like inheritance, composition, aggregation and association, and as an indispensable part, by defining call delegation, object creation and operation overriding. We introduce a new XML-based language, the Design Pattern Markup Language (DPML), which provides an easy way for the users to modify pattern descriptions to suit their needs, or even to define their own patterns or just classes in certain relations they wish to find. We tested our method on four open-source systems, and found it effective in discovering design pattern instances.","1063-6773","0-7695-1905-9","","10.1109/ICSM.2003.1235436","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1235436","","Artificial intelligence;Design methodology;Markup languages;Open source software;Pattern recognition;Robustness;Software measurement;Software systems;System testing;Unified modeling language","C++ language;XML;reverse engineering;software architecture;specification languages","ASG;C++ language;Columbus Schema;DPML;Design Pattern Markup Language;UML;Unified Modeling Language;XML-based language;abstract semantic graph;call delegation;design pattern mining;formal specification;micro architectures;object creation;open-source systems;operation overriding;source code;structural information","","","","25","","20","","","20031007","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:48 PM EST","Dec. 14, 2013 1:48 PM EST"
"An Analysis of Machine Learning Algorithms for Condensing Reverse Engineered Class Diagrams","Osman, Mohd Hafeez; Chaudron, Michel R.V.; Putten, Peter van der","","Software Maintenance (ICSM), 2013 29th IEEE International Conference on","22-28 Sept. 2013","2013","","","140","149","There is a range of techniques available to reverse engineer software designs from source code. However, these approaches generate highly detailed representations. The condensing of reverse engineered representations into more high-level design information would enhance the understandability of reverse engineered diagrams. This paper describes an automated approach for condensing reverse engineered diagrams into diagrams that look as if they are constructed as forward designed UML models. To this end, we propose a machine learning approach. The training set of this approach consists of a set of forward designed UML class diagrams and reverse engineered class diagrams (for the same system). Based on this training set, the method 'learns' to select the key classes for inclusion in the class diagrams. In this paper, we study a set of nine classification algorithms from the machine learning community and evaluate which algorithms perform best for predicting the key classes in a class diagram.","1063-6773","","","10.1109/ICSM.2013.25","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6676885","Machine Learning;Program Comprehension;Reverse Engineering;Software Engineering;UML","","","","","","","","","","","","20131202","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"Exploring How to Develop Transformations and Tools for Automated Umplification","Garzon, M.; Lethbridge, T.C.","Sch. of Electr. Eng. & Comput. Sci., Univ. of Ottawa, Ottawa, ON, Canada","Reverse Engineering (WCRE), 2012 19th Working Conference on","15-18 Oct. 2012","2012","","","491","494","In this research we are exploring how to perform incremental reverse engineering from Java to Umple, a process we call Umplification. Umple is a textual representation that blends modeling in UML with programming language code. It is designed to allow anything from pure textual modeling to almost-pure traditional programming with some modeling concepts added. Umplification involves increasing the proportion of modeling concepts in the code. Novel features of this work are: a) the transformations required are intended to be applied incrementally by a programmer who has a body of legacy code and wants to gradually transform it into Umple, preserving much of the layout, comments and other aspects of the original code if possible, b) the transformations required are at the same time code-to-model, model-to-model and code-to-code. The main contributions will be developing the transformations, developing a usable tool, and demonstrating its effectiveness by means of case studies.","1095-1350","978-1-4673-4536-1","","10.1109/WCRE.2012.58","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6385144","Incremental Reverse Engineering;Textual Modeling;Umple","Java;Prototypes;Reverse engineering;Semantics;Transforms;Unified modeling language","Java;programming languages;reverse engineering","Java;Umple;Umplification;automated umplification;legacy code;programming language code;reverse engineering;textual representation","","","","","","20","","","20121220","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
